rating,review
1,"McDonald’s staff employe namesFemale:AmyMale:AustinBe carful when ordering plain hamburgers there not plain hamburgers the put bits of onion in there and don’t tell youLocation: Gate Leisure Park, Terminus Rd, Chichester PO19 8EL"
1,I went to US for my business expansion and visited a mcdonalds closby to my motel. Food was too much pricey than in my hometown and tastes too much bad for my palette. Japans mcdonalds is much better. Mcdonalds need to improve their service and taste
1,"I went into their store at 5130 n Sheridan Road in Chicago on June 7th at 853p to purchase their $6.00 meal deal on their app. It was rung up at $7 and tax. Total of $7.76. It was shown on their board as $6.00 too not including tax. When i brought up to honor the $6.00 price i was refused by the cashier and the man they sent over when I asked to speak to the manager. It was only the matter of a dollar but I was treated like I was the one at fault and treated poorly. Besides McDonald's makes zillions of dollars dont they? I'm also a disabled senior. When I called their corporate office the young kid on the phone treated me poorly as well. He said they issued you a refund didn't they? I said for the whole meal not the dollar difference. Besides I demanded it because they refused to honor the $6.00 price. Also, the kid in corporate on my call to them acted as if they did me a big favor and gave me food for free or something. As i said i was refunded what they charged me for it which was a dollar more than on on their app which was lower. Also he added now i know why you were treated like that. Honest thats the absolute truth! Also i feel discrimination at the store and on the call. Thats how they settled it. I was told they would pass it along to the store manager. Thats all. I was told that it was to be passed on to the stores manager. It was not settled by mcdonalds corporate office. I requested a gift card for my trouble and I was refused that. Also the credit at my bank is showing at zero dollars. I need to contact me bank after I submit this. Additional thoughts their food wasn't any good in the first place. Most of the time it is served warm. Also too expensive now for what is given. Not pleasing to my eyes. From now on I refuse to go to any mcdonalds again. There is a circle k and marianos close by and when im looking to pick up something I will go there for a quick bite. Again that restaurant and McDonald's corporate doesn't care about their customers as I see. Many reputable companies would treat this in a matter which would show they care about their customers. McDonald's corporate doesn't care period. Also the customer service rep was also very rude and kept interrupting me when I spoke. Repeating that I already told him something when I didn't. Goodbye McDonald's with your corporate greed! Also apparently want to rip people off and scam the public as indicated here by over charging the customers."
5,"McDonald’s is the best. The app and the discounts really help. I saved $7 while using the McDonalds app. I literally only order through the app from now on. Great food, great people."
1,"No matter where in the world why do people still eat mc Donald's it's fake and poisonous, I mean dang how hungry are you!!!!! High prices disgusting food and now it looks like a gray jail!!!! I haven't eaten there for years and I'm very cautious of other establishment s too especially taco bell 🤮 and the date is a date of my review not experience"
1,"The is the worst mcdonalds I have been to. 70345 Hwy 21 Covington, LA 70433. They gave me an uncooked sandwich that was cold with stale bread. You go inside the business and understand why right away. Just left with no food and money gone. I will never return to this sorry dump."
1,El Mac Donald de levittown el servicio es extremadamente lento y pesimo
1,"I have stopped at the Hwy 82, Greenville, MS location several times and have yet to get my order of a Diet Coke correct.  Today's flavor tasted like Dr. Pepper.  If someone orders a diet anything just maybe they are diabetic and can't drink sugar drinks!  Today they also decided I was not deserving of cheese on my sausage, egg AND CHEESE biscuit.  This is truly getting ridiculous.  If the people of Greenville would boycott these ""fast food"" restaurants I bet the powers that be would do something about the laziness and don't care attitudes their employees have!  Needless to say today was my last trip to any McDonalds.  I will make my own breakfast, at least that way I will get what I want!"
1,"I visited several time to the Mcdonald's on rt33 Mercerville NJ, the manager a spanish guy is miserable he doesn't look at you or say good morning or hello. But to me one of the most important this is he is not veteran friendly he makes faces and click his tongue when ask and prove that you'll a veteran. Why is he working there??? Without the veterans he wouldn't even have a job! While he was sleeping in a warm bed I was fighting in war for his freedom and our country's freedom! GOD BLESS THE USA!"
3,"In my opinion its not bad at all, but there are some things that should be improved, mostly meat quality is going down from what I see"
4,My family friends loves the chicken nuggets and french fries!!!
1,McDonald's food is cancerous. Mice won't eat it. Sit out for four years and still looks a day old. McDonald's food will put you in your grave after you suffer really bad cancer  before their food puts you in the graveyard after a long painful time. McDonald's should be permanently closed for poisoning people.
1,"Ondara McDonalds.I really fancied a burger and the queue at Burger King was too big for my hunger. So i thought i'd try MacDonalds.. which had no queue.. zero queue.Now i know why. What a shameful excuse of a burger, with ignorant staff and crap food. No wonder Burger King is trouncing you! I wasted 12quid and had to get a burger king on the way home to get the taste of macdonalds out my mouth! Ideally you should give a refund. But you're too shameful to do that of course."
5,McDonald’s has always done right by me. Love all the new options that are on the menu recently
1,"I wanted my 3 cookies :(edit: it was a mistake ordering directly through the app, it's impossible to get help on any issues."
3,So I'm a regular at hieneberg drive mcdonald's cause I live so close n usually I don't complain about them n there's alot I could say but being a regular n always getting the same thing I kinda kno what I can get by now but tonight I ask for Mac sauce for 2 ppl I legit got a quarter size amount in a chicken nugget box I look at it he looks at me and says that's all we have like nooooooooooo first off your mcdonald's your not out of Mac sauce from beginning when I asked he seemed aggravated n it seemed like I purposely got a small amount n then wouldn't give me more n tries to say there out of freaking Mac sauce.......I don't complain about the crazy wait times or the employees just staring at you walking by instead of saying I'll be with on a min or can I take your order I don't ever complain but today pissed me right off as a loyal customer
1,"Bellies Hill roundabout Lanarkshire, Scotland McDonalds restaurant at 15:00 on Friday 18/04/2025, I visited this place with wife, son and a friend, on entering the restaurant there was food and serviettes strewn across the floor and on tables. We ordered ( my wife and I had just driven up from Yorkshire). I asked at the counter for some one to clean table number 8 which she cleaned however ignoring the food on floor and other tables.As I suffer from a bowel problem I went to the toilet which was rammed with lots of human waste and toilet tissue. I informed the cleaner who said he would sort it. He started cleaning the restaurant and as I had checked my watch when I informed him it was 15:15 at 15:45 I went back to the toilet only to find it in the same disgusting filthy state. This time I went to the counter to see the manager who completely ignored me when the young lady told him that I wished to see him. FIVE minutes later I had to call across the counter that I wished to speak to him. I reported the situation to him and he completely ignored me. I am now (as a fully qualified Health and Safety person am seriously considering reporting this to the local environmental health office.S. Balmer"
1,For McDonalds on Montano Albuquerque NM. Went there to order a happy meal for my granddaughter. No onions the smart ass who prepared the meal put about a half cup of onions on the burger. Who does that to a child?
2,"visited restaurant in fort lauterdale and fries were super cold and stale, not a great experience and expect higher quality from mcdonalds"
1,McDonalds warwick Blvd near CNU in Newport News. Eggs nearly hurned. Reminder to check your food in the drive thru before you pull away.
1,"Went to McDonald's Ryde Isle of Wight this afternoon.Nice burgers, but fries were awful, they wererope'y, even the birds won't eat them.Next time I visit McDonald's I will skip thefries and just order burgers and drinks etc."
1,I run asleep don't think that McDonald's even reserves a star because of the fact that they are grinding up humans I mean I don't even produce as much cows as they're producing an hamburger it might not even be real we could be eating people not thinking about that I haven't ate fast food and over a year and a chicken sandwich the other day and threw a ride up so my body doesn't even want that s*** I don't judge anyone that likes McDonald's me I just can't do it nasty
1,"I rarely go to McDonalds, but happened to visit the Portsmouth North Harbour outlet on 14/01/2025 where there was a 20 minute wait, kiosk machines not working properly and giving no receipts. When the food finally arrived it was cold, and the milkshakes contaminated with multiple flavours. Complained to McDonalds Customer Services who initially tried to ignore the complaint because I didn't have a receipt, even though their machines had run out of till roll. I was eventually given a QR code to redeem a free meal as compensation which I tried to claim at the McDonald's in Southampton West Quay Retail Park on 31/03/2025. Once again, multiple kiosks not working and all had run out of till roll so no receipts. The kiosk wouldn't accept the QR code to redeem my free meal, so I waited a the front counter for over 10 minutes, being repeatedly ignored by multiple staff members, until I eventually walked out in frustration (and without my meal). Completely disgraceful company, I will be avoiding McDonald's at all costs. The fact that none of their Trustpilot profiles have been claimed and the sheer number of negative reviews tells you everything.I'm not lovin' it."
1,"I went to McDonalds, and I ordered a hamburger with pickles. Instead, they gave me a mc double with cheese, onions, lettuce, tomatoes, mustard, and ketchup. There weren't even pickles on the hamburger. I also ordered a cheeseburger, and they did the same thing with the cheeseburger. Clearly this McDonalds doesn't listen to your orders very well. The McDonalds was in Livermore on Vasco Road. If this continues with any other McDonalds, I will no longer buy from them."
3,The French fries taste better when cooked two darker colour than the pale white
1,If you’re not going to revamp the way the workers treat the customers you might as well shut down. We will get to a point of boycotting because it is getting absolutely ridiculous! The person taking your order in the drive through is disgusting and gives no apologies. Closes the door right in your face no thank you nothing pleasant at all. You cannot continue to write that off as being busy. Do you know why you’re busy? Because we are coming to spend our money!! I have dealt with an annoyed attitude for the last time at this McDonald’s.
1,"You know maccy d's was elite back in the day I feel like it became washed after a couple of bad years I mean people still eat there because its like a staple of fast food but let me tell you like the small fast-food restaurants that you can find are like 100% better and also wayyy cheaper, like for mcd you need to spend so much money and not even been filled up"
1,"WOULD BE 0 STARS IF I COULD!!! The store at 1900 N State Rd 7(441) Hollywood Fl. Is a joke! This is my 3rd complaint. Today was a DOOZIE! My breakfast bill was $6.51 I paid with a $20 so my change was $13.49, the cashier says here is $13.00 I do not have change ($.49) so I said so give me $1. Her reply was NO MY DRAWER WILL BE SHORT; WE HAVE NO CHANGE IN THE STORE! UMMMM excuse me I said as the customer that is not my problem I should not be shorted since your store is not prepared. I asked for the manager and of course her reply was ""I AM THE MANAGER"" she said hold on and slammed the drive thru window in my face....I waited like 3-4 minutes for her return to her to say ""HERE and shoved $.40 at me still $.09 short but that was fine. Then I get my food hash brown ice cold like wasn't even cooked and sausage McMuffin hard as a rock like it was sitting for 30+minutes. Why should I be punished since your store has no change??? KIARA was the ""managers"" name DO BETTER McDONALDS DO BETTER!!!!!! and still 9 hours later no call back from corporate about this situation. Now here is another scam the store at 5385 Hollywood Blvd in Hollywood is running through the drive thru since this is our other main store....be aware when you go to the drive thru they have started asking ""DO YOU WANT YOUR CHANGE???"" UMMM Heck Yeah, I Do why would I give it to you??? so at the end of the night you can have $100+ dollars McDonalds your employees are thief's and just plain RUDE....DO BETTER"
1,"Newmarket Road Cambridge UKMy Big Mac was awful.There was no sweet pickle relish.There was no yellow mustard.Paprika, onion ?It was just two meat pattys, cheese & huge amounts of lettuce (not in the recipe !!)"
1,Cheap chemicals don’t seem healthy or appealing at all. I feel very bad after eating this kind of food. Their employees also don’t appear healthy or happy.
1,I asked for a CHOCOLATE Milkshake and they gave a vanilla milkshake and this is the SECOND TIME!!!
4,"McDonald's is what it is. I'm not interested in reviewing them, I'm testing this site before I review another company."
1,"the worst service, unrespectful with the client and they make fun of the customers in their faces. terrible experience in mc donalds food court IBN batuta Dubai."
3,"Stopped by real quick to grab a McChicken. Took way longer than “fast” food should. Food was alright, nothing to write home about. The soda machine was down too, which was kinda annoying."
2,"McDonald's claims they use ""quality"" ingredients in their meals, but their fries have 14 ingredients (all preservatives) and their burgers used to have a PINK PASTE just so that they WOULDN'T USE AS MUCH MONEY!!!McDonald's tastes okay in 2025, I guess."
1,"Well people are Randomly arguing about inventory at Home Depot in Flagstaff Arizona, Seattle Washington and Portland Oregon? Also arguing Chemicals that are locked 🔐 up because of Huffing in Coconinio County 💊😶‍🌫️😢 Staff seam's to Randomly argue about electronics and Auto Parts and other businesses that have EBT overcharges? I talked to Jose that does not have stock or investments in the Circle of Page Food Bank and Margaret that has been to foreign countries 💺 about this situation 🗣️🥺"
1,everytime i come here i order a diet coke and they always give me normal coke when i order a diet coke i expect to get a diet coke
1,Big mistake firing their CEO for having a girlfreind who worked at Mcdonalds. Who the heck cares about that. Dont fire the guy. Where else is he supposed to meet people?New CEO came in a trippled prices. Now the stores are empty. I pulled all my stock out of Mcdonalds. They have lost their way. Cluless board of directors who fired the ceo. Poor leadership. Food makes you feel likw crap after eating it. For most people it doesnt make sense to go here whwn you can go to a local burger joint for the same price. Mcdonalds used to be fairly priced for what you get. Prices dont reflect inflation they are way higher than inflation.Customer service is worse than it was in past decardes. American workforce is notorius for being apathetic and that is what you get these days at Mcds. Bleached wheat flour also causes diabetes and it is in 80% of their food. Google it. I was a life long customer but will not go back there since their pirce gauging and new CEO. If they fire him and lower prices Id consider going back.
1,"My experience at McDonald's was a real disappointment. What disappointed me the most was the lack of cleanliness at the tables. I sat at a table that looked like it had not been cleaned, with leftover food and drink from previous customers.The table was dirty, and there was even ketchup that someone had left behind. I felt disgusted at having to sit at such a dirty table.Also, my mom had to clean the table, which I thought was horrible since that should be done by the staff. The overall lack of cleanliness made me feel like it wasn't worth going back to that place.All in all, my experience at McDonald's was very disappointing, and the lack of cleanliness at the tables was the worst. I hope they take steps to improve the cleanliness, Thank you."
1,"McDonald’s seriously needs to be shut down. This place is horrible and the food is old and disgusting and there apples slices are always expired but they sell them anyway! How disgusting is that?? The people they hire are very disrespectful and rude or they are on drugs and are too high to get your order right. I mean they can’t even make a plain cheeseburger to save their life and one time I ordered a mcchicken and they didn’t put the chicken on it!!! How do you forget the main ingredient, it’s literally the name of the sandwich ???!!!"
1,Whatever you do steer clear from the McDonalds on 47th and broadway in wichita. I went there tonight and had the worst experience ever. First I went in the store and placed my order by kiosk then when I get to the counter to pay I stood there for 10 minutes before anyone even acknowledged me then when they finally did while in there eating I had to listen to 2 young guys and 1 of the managers having an intense conversation and every other word was a cuss word and they weren't being quiet about it either then I had to hear one of the guys tell a story about how a man came through the drive thru and was talking under his breath in the speaker so he screamed into the speaker calling that man a bastard! Really this is the type of people that McDonalds wants serving their customers?! Not only was it appalling but it was really irritating the lack of leadership that their so called manager had cause she wasn't even trying to correct those guys matter of fact she was joining in with all the cussing! So unprofessional and disturbing. And all while they were cussing their buttons off there was a young boy maybe 6 to 8 years old in there eating dinner with his dad he didn't need to hear all of that from them. So yeah if you want to actually enjoy your meal go to a different McDonalds because this one doesn't seem to care about customers and customer service. At least not good customer service.
1,Mcdonalds in Gandia. Dreadful food and dreadful service. :(
1,"Bassetts Pole UK ,sloppy service sloppy burger"
1,"Supports Fascists, Extremely Unhealthy,  Low Wages, Shitty Ice Cream Machine"
2,"Drove by a mcd's on 91st ave and peoria ave in peoria az.  Giant sign posted on side of building:  Drive through open 24 hours.  it's 3 in the am and I was hungry.  Pulled in upto the ordering speakers, waited 10 12 seconds no one acknowled I'm there.  After another 15 seconds  I started yelping at the speaker hello hello, anyone there?  Nothing. drove around past the empty pay window and stopped at the pick up window.  Saw a girl there who looked right at me, turned around and walked off.  Waited about 30 seconds, she never came back.There were employees outside around there cars.  Didn't see any of them in the building.I don't care what's going on, shift change, spilled grease, 2 in the bathrooms.  You don't leave customer hanging.  She should have stopped, come to the window, (she was 5 feet away) and give me whatever excuse you have, anything just acknowledge I'm there, and you're not open.  I was the only one there in the line."
1,"I hereby register my dissatisfaction with the service received at one of the McDonald's units. On January 29th, I was at the store located in Regi Budapest and was served by an employee with glasses and blond curly hair at the checkout who demonstrated an extreme lack of cordiality and professionalism. From the beginning of the interaction, the attendant appeared impatient and rude, not clarifying my doubts and treating me with inattention. Furthermore, his unfriendly attitude and lack of interest in providing good service compromised my experience at the restaurant. I understand that adverse situations can occur, but I believe that the quality of customer service should be a priority for a company the size of McDonald's."
5,"The cashier Manny was cool asf..he even went in his own pocket to help me out faster then i could ask ...friendly, polite, & non judgemental! And for the area of this location that means something to me..thank you"
1,"Never again! I went at 9:30 for breakfast.It look like it been cooked at 6:30 and sat in the warming tray as were stiff could use them as a frisbee disc. Hashbrowns were soggy sausage with stale flown it around too!Next time, I’ll just go to waffle House for some real food!!!"
1,"McDonald's used to be a reliable choice, but the quality and service have declined significantly. My recent visit was disappointing, food was lukewarm and the order was incorrect. It no longer feels like the fast and friendly experience it once was."
1,"For one, this food has been benefiting since they started deregulating the food industry. They've been killing Americans with crappy food and high prices. Now they bring in someone who actually is going to continue to deregulate s*** more and take credit for saving money. McDonald's is brought back a $5 meal to kill off more Americans again. Where is there any good towards making America healthier McDonald's go away"
1,"50 cents to use the loo, after luke warm 'hot drink' and ughy sickly cheese cake. Even Ryanair tried that scam and decided it was too much of a customer rip off. Experience at MacDonalds at main station in Vienna."
1,"My opinion is that there MAY have been a Taenia saginata in my burgerJust an opinion, not stating facts.Just an opinion, not stating facts.Just an opinion, not stating facts.This is not real, this is not a fact."
1,"You guys became WAY too expensive for a fast food chain. Enough of the corporate greed, the people need to eat!"
1,They are snitches. Don't buy there.
1,"The food quality has gone downhill. After the hamburger problem they had, they have started overcooking the burgers and smashing them so thin they barely hold together. I bet that the quarter pounder no longer starts out as a quarter pound of meat. Sad to see, will just push customers to the other competitors, has me….."
1,"Anyone that has ever been to a store already knows how poorly they run, but I had no idea the entire corporation was this bad! I have had orders screwed up and they offer no phone support, no email support, no message support and their online ap sucks. No where does it assist user with filing complaint ref wrong order given. They have fb page, also useless. No one ever responds from that too. Then I saw the other day, a store that had 2 drive through lanes. They take order from left lane. Then right lane, then left then right, etc. This seems stupid to me. And it doesn't make anything go faster,it's the same. Anyway I pull up,car in left lane, right was empty, I pull right. Then they took order the next 3 cars, all in left lane. I had to pull up and ask, is it broken on the right or what?! Worst corporation I've ever seen. Nothing runs correctly!!!"
4,I actually like the app & the deals they have & building points for a free item. Best coffee around too.
1,"Way too expensive for what it is, not worth your money, their burger meat is dry and too small, you can make your own burger better at home."
4,Last time I have visited in Lahore Pakistan. The food was too much yummy and I m give 4stars bcz service was not good.
3,Not bad food considering it's fast food take-out. Would like to see them improve the burgers.
1,Arrived Sunday 11/24/2024 @ 9:06 am. Worker acknowledged my presence and went to back of store. At 9:15 I left since there was no interest in taking my order or providing any service to me.  This is at the store located at 10431 Page Ave Overland MO
1,"Been here 100+ times, but takes only 1 time to leave a bad review. After spending 2h in mcdonalds and having 3 receipts, got fine for parking at mcdonalds for too long. Funny enough i was only customer there, it was between 10pm - midnight."
1,"Your location at 3425 Lansing Ave, Jackson, MI 49201 is an absolute disgrace. I've tried giving them multiple chances but each and every time, the nuggets are cold and dried out; completely inedible so I end up throwing them away. The burgers are a mess with shriveled, cold patties. I can't trust that the food is prepared in a sanitary way either. It doesn't matter if you're friendly and patient with them. It's blatant disrespect they hand out this slop. They know it's bad and they don't care. I've developed a disgust for your entire franchise since poor quality food and service is found at nearly every location."
1,Family member got e-coli from their burger.
1,10 nuggets and one effing honey with no other sauce no wonder I hate your establishment
5,"yes, very good and delightful."
1,"what are these employees i just orderd a burger they just rolled there eyes and they pretend i was a impatiant person i ate a burger when i was done i threw up over and over again i had nausea i quickly went to the same mcdonalds and they kicked me out when i was ok again i went inside the mcdonalds they told me to leave AGAIN! i  told them no they said ""i will call the police"" MF I WAS POISONED BY THESE MF EMPLOYEES if anything i should call the police!!! i just left after some hours ago i went to the same mcdonalds without even knowing and they were mad they were screaming then i realized I WAS AT THE SAME MCDONALDS they kept screaming at me i then left there is something wrong with them"
1,"They literally put feces in my cheeseburger, along with lidocaine. They were waiting for me because I was a big fan of McDonald's at the time. As I ate the feces and lidocaine laced cheeseburger, dozens of locals swarmed around me taunting ""you need to see a dentist"" and “you just ate s@$t""."
3,"The nuggets aren't tasty when you order them plain, the BBQ sauce just makes them taste better. But the McFlurries are very good, doesn't matter which one you get. Although I like both Oreos and M&M's. I hear McDonald's had an outbreak where people get sick from eating the Quarter Pounder due to the onions, now it's back with no onions? I still have a feeling the Quarter Pounder has E. Coli in the meat..."
1,"Cold food, missing items and unable to resolve through the virtual assistant which says contact the restaurant or Uber - both of which are impossible to do (there is no order on Uber and the restaurant phone mail box is full and no-one answering)Pity can't give 0 stars here"
1,"Got food worth of $32 the french fries was a stick of Cold  dry oil had to go to the garbage. The fish sandwich, the fish is dry hard on the edges. The cheese looks like dry cardboard, and the band was hard and cold. Chicken nuggets was OK. Happy meal the hamburger look like brown piece of cheese and the bun dry cold and stuck to the hamburger disgusting and suspending $32, do not eat at the McDonald’s route 66 Neptune, New Jersey continuously bad food"
1,McDonald's is not bad.  My problem with it though is that it is SO unhealthy.  They use mutant chickens to make their mcnuggets!
1,this is not the first time we ate in mcdonalds cardiff ferry road.first visited in mc donalds we have our cat inside our bag but no one told us the cat is not allowd inside even the cat is inside the bag.today we came there again one lady came to us and sayong why did we bring the cat inside and saying put under the table and we said ok . but the lady she is still not happy she come to the worker of mcdo and complain us in a minute 1lady who works in mcdo came to us and saying cat is not allowd even inside the bag when you finish please take him away this what she said ofcourse i need to take with me this our cat and spend a lot of money for this cat  and my cat is very clean he showered everyday .but before we came in we had a look if there is any sign that we cant take him in but nothing any sign. .anyway if is not allowd we will not do it again but how they approach us is not in a good way . also their hot chocolate is just like a boiled water only tasteless. 1star for mc do and never will eat  or order again.and put sign if is the cat inside the bag is not allowd because we dont know your rule. and im standing infront of the counter bar the lady i think its the manager asking are u waiting for ur food? then why i should i stand there? of course for food that i ordered and paid .
5,"I recently visited McDonald’s, and I had a fantastic experience! The service was quick and friendly, making my visit enjoyable from start to finish. I ordered the classic Big Mac meal, and it was delicious—perfectly cooked with all the classic flavors I love.The restaurant was clean and well-maintained, which added to the overall positive experience. I also appreciated the variety of menu options available, from their iconic burgers to healthier choices like salads and fruit.What stood out the most was the efficiency of the staff. My order was ready in no time, and they even checked to make sure everything was correct. It's great to see such commitment to customer service!Overall, I highly recommend McDonald’s for a satisfying meal at a great value. Whether you’re in the mood for a quick bite or a full meal, you can always count on McDonald’s to deliver!"
1,Reklama Bambi... No proszę Was... Dramat. Marketingowe dno.
1,"Ordered breakfast as a treat from Dearne Valley McDonalds after paying the extra for faster delivery, it was late cold and burnt ! Never again!!"
2,boycott this product
3,"Burgers and fries are the same as everywhere in Mc Donald's, but prices in Georgia are way more high than in Russia, for example. However, they have a special bonus program thal allows me to accumulate my bonus points for each purchase and get some discount later. The annoying thing is that every time I order, my order number disappears from the display shortly, or it appears on the ""ready"" side when actually it's not ready. It disappears even from there too! What a nonsence.. I have to stay there at the desk and wait until it gets done. I also have to ask staff about my order and they always say kinda ""wait a bit, please"". This is weird.. Always! It's the second reason for rating it lower."
5,I had bought tea through the drive through on the mobile app. We were told to pull up and they would bring it to me soon. My wife and I waited and waited and waited. Finally I went in to find out if we had been forgotten. No. They were making it. After waiting I asked to see the manager. She informed me they were making it. After a time (twenty minutes) one of the line workers came to the front and told her it was broken and couldn't be fixed till the next day. They had no other beverages to offer as the carbonation didn't work on the sodas also. Now you might be saying. You rated them five? Well I contacted the store owner who made it right by giving my wife and I vouchers to get drinks. Yes all I wanted was what I paid for. He said he would address his staff. Management didn't just ignore. That's good business.
1,"Went thru the drive thur on 09/04/2024 ant 9:36 am order #1457, there was no “hello thank you for choosing McDonalds may I help you “? No it was “what do you want” I was shocked wow so rude. I thought good thing I’m not your manager because you sure would be trained better! But on a better note they did get my order right for a change. McDonald’s do better at training your employees with customer interaction attitudes."
1,"TerribleWe ordered 1 cheeseburger,fries nothing else,waited over 30 minutes, two people came in ordered a big Mac and fries,he got his ate it left.Were still waiting he ask,oh were busy a no bc we are the only ones inside."
1,Very bad service. Dry food without lettuce and tomato inside.
1,McDonald’s do not even bother going there if your from out of town late at . The are garbage lazy and will not take your order they will lock all the doors and do absolutely nothing. The worst place ever don’t go . McDonald’s down town Dallas. You will regret it
1,i wish there was an option for 0 star because this is truly a terrible nightmare. i am talking specifically about the cairo nasr city mcdonlds the chicken is dry asf and it tastes like rolled up toilet paper the bread is even worse its like its been out and dried on the counter for days it tasted older than me. i am  describing McChicken medium meal after i ate it i completely switched my life and even started heavy detoxing because of how motherfuckin dry and deadly that f*ckin meal was i cried and asked my self is this really what ive come to eating a f*ckin McChicken honestly only some will understand but u cant eat McDonalds and win in life that shi is for the weak fat ugly dugly fckers and not for the baddies like me i swear to god im never putting anything from mcdonlads in my mouth ever again this is honeslty enough to describe my rage im never that bothered to write a review but this really triggered me that meal was straight from someones ass hole istg.
1,"3835 East Loop 1604 North, Converse, TX 78109(210) 666-6565Open 24 hours  More hours  servicesA complaint I been fuming over for a good while now but first i'd like to explain I am a continued customer because like millions of others, I do enjoy Mcdonalds foodAt the address above I put in an order thru doordash. Doordash delivers the ""sealed"" bag of my order. I find I am missing a 10 piece nugget and the fries were not quite done.  Mcdonalds policy is call Doordash and get credit or refund.  Instead I made the 6 mile drive one way because I did not want a refund or credit, I wanted my food as it was ordered for a reason.  The manager, I did not ask her name but was right about 4:15 pm when i was there, was professional for the most part and gave me the missing nuggets and replaced my fries.  She also told me calling doordash was policy and to do that next time. I asked her how is it doordashes fault when its Mc'donald not putting the food in the bags. She just looked at me and said have a good say which is annoying management can't even give an answer. They think everyone's out for free food and that just crap!McDonald's bags and seals them shut and sets them in place to be picked up.  Doordashers cant even inspect to see if everything has been bagged because it's ""already sealed shut"".  It makes no sense to me how that can even be policy.It gets very frustrating, no matter how minor or how big the mistakes are in deliveries but I kid you not 9/10 they are wrong.  Don;t go by numbers and stats cuz we all know a crap ton of people dont bother with complaining just like me for years.A suggestion for all fast foods would be to put someone on quality inspection, inspection every bag before it gets sealed for delivery.  I bet this would go a long ways for keeping customers happy.  But it is NOT a delivery services fault and I hope you all see the flaw in this policy!this needs changing..........Have a question or feedback about a delivery order? First, check the Vendor Name to identify whether Uber Eats, DoorDash or Grubhub was handling your order, and please contact Uber Eats at: 1-866-987-3744, DoorDash at: 1-833-510-0332 or Grubhub at: 877-866-4482. You can also access our help pages  FAQs."
